id,data,ulica_1,ulica_2,sygnalizacja,rodzaj_zdarzenia,warunki_oswietleniowe,warunki_pogodowe,rodzaj_drogi,ograniczenie_predkosci [km/h],typ_nawierzchni,stan_nawierzchni,oznakowanie_poziome,rodzaj_skrzyzowania,teren_zabudowany,skrzyzowanie,teren_zabudowany_bin,nawierzchnia_twarda_bin,znaki_poziome_bin,wykroczenie,id_skrzyzowania
108602000,2020-01-25,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,"Świt, zmrok",Pochmurno,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
108672290,2020-02-15,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów czołowe,"Świt, zmrok",Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Niedostosowanie prędkości do warunków ruchu,20
108740076,2020-03-04,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
108740347,2020-03-05,WAWELSKA,GRÓJECKA,działa,Inne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
109067658,2020-05-23,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Niedostosowanie prędkości do warunków ruchu,20
109320980,2020-08-01,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu,20
109387285,2020-09-05,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Opady deszczu,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
109433495,2020-09-30,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Pochmurno,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
109537653,2020-11-14,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów czołowe,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
109942644,2021-02-22,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami,20
