id,data,ulica_1,ulica_2,sygnalizacja,rodzaj_zdarzenia,warunki_oswietleniowe,warunki_pogodowe,rodzaj_drogi,ograniczenie_predkosci [km/h],typ_nawierzchni,stan_nawierzchni,oznakowanie_poziome,rodzaj_skrzyzowania,teren_zabudowany,skrzyzowanie,teren_zabudowany_bin,nawierzchnia_twarda_bin,znaki_poziome_bin,wykroczenie
109358741,2020-08-21,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu
109399276,2020-09-11,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami
109412762,2020-09-18,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
109496414,2020-10-29,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieprawidłowe cofanie
109537887,2020-11-15,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
109560303,2020-11-22,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieprawidłowe cofanie
109597333,2020-12-04,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
109656097,2020-12-10,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów czołowe,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
109713102,2021-01-07,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Inne,"Świt, zmrok",Pochmurno,Dwie jezdnie jednokierunkowe,50/60,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niedostosowanie prędkości do warunków ruchu
109730462,2021-01-09,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów czołowe,Noc - droga oświetlona,Opady deszczu,Dwie jezdnie jednokierunkowe,50/60,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
