id;data;ulica_1;ulica_2;sygnalizacja;rodzaj_zdarzenia;warunki_oswietleniowe;warunki_pogodowe;rodzaj_drogi;ograniczenie_predkosci [km/h];typ_nawierzchni;stan_nawierzchni;oznakowanie_poziome;rodzaj_skrzyzowania;teren_zabudowany;skrzyzowanie;teren_zabudowany_bin;nawierzchnia_twarda_bin;znaki_poziome_bin
113514349;11.11.2021;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
116745246;27.12.2021;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
120332646;14.02.2022;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w czo艂owe;艢wit, zmrok;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
120343527;15.02.2022;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;Noc - droga o艣wietlona;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
120357758;22.02.2022;WAWELSKA;GR覬ECKA;dzia艂a;Najechanie na pieszego;Noc - droga o艣wietlona;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
120396694;12.03.2022;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
120748435;04.06.2022;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w czo艂owe;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
120822327;21.06.2022;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;Noc - droga nieo艣wietlona;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
123880138;10.11.2022;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Pochmurno;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
125258834;16.04.2023;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w tylne;Noc - droga o艣wietlona;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
